,passengerid,survived,pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
0,1,0,3,male,22.0,1,0,7.25,missing,S,Mr
1,2,1,1,female,38.0,1,0,71.2833,C85,C,Mrs
2,3,1,3,female,26.0,0,0,7.925,missing,S,Miss
3,4,1,1,female,35.0,1,0,53.1,C123,S,Mrs
4,5,0,3,male,35.0,0,0,8.05,missing,S,Mr
5,6,0,3,male,28.0,0,0,8.4583,missing,Q,Mr
6,7,0,1,male,54.0,0,0,51.8625,E46,S,Mr
7,8,0,3,male,2.0,3,1,21.075,missing,S,Master
8,9,1,3,female,27.0,0,2,11.1333,missing,S,Mrs
9,10,1,2,female,14.0,1,0,30.0708,missing,C,Mrs
10,11,1,3,female,4.0,1,1,16.7,G6,S,Miss
11,12,1,1,female,58.0,0,0,26.55,C103,S,Miss
12,13,0,3,male,20.0,0,0,8.05,missing,S,Mr
13,14,0,3,male,39.0,1,5,31.275,missing,S,Mr
14,15,0,3,female,14.0,0,0,7.8542,missing,S,Miss
15,16,1,2,female,55.0,0,0,16.0,missing,S,Mrs
16,17,0,3,male,2.0,4,1,29.125,missing,Q,Master
17,18,1,2,male,28.0,0,0,13.0,missing,S,Mr
18,19,0,3,female,31.0,1,0,18.0,missing,S,Mrs
19,20,1,3,female,28.0,0,0,7.225,missing,C,Mrs
20,21,0,2,male,35.0,0,0,26.0,missing,S,Mr
21,22,1,2,male,34.0,0,0,13.0,D56,S,Mr
22,23,1,3,female,15.0,0,0,8.0292,missing,Q,Miss
23,24,1,1,male,28.0,0,0,35.5,A6,S,Mr
24,25,0,3,female,8.0,3,1,21.075,missing,S,Miss
25,26,1,3,female,38.0,1,5,31.3875,missing,S,Mrs
26,27,0,3,male,28.0,0,0,7.225,missing,C,Mr
27,28,0,1,male,19.0,3,2,263.0,C23 C25 C27,S,Mr
28,29,1,3,female,28.0,0,0,7.8792,missing,Q,Miss
29,30,0,3,male,28.0,0,0,7.8958,missing,S,Mr
30,31,0,1,male,40.0,0,0,27.7208,missing,C,Other
31,32,1,1,female,28.0,1,0,146.5208,B78,C,Mrs
32,33,1,3,female,28.0,0,0,7.75,missing,Q,Miss
33,34,0,2,male,66.0,0,0,10.5,missing,S,Mr
34,35,0,1,male,28.0,1,0,82.1708,missing,C,Mr
35,36,0,1,male,42.0,1,0,52.0,missing,S,Mr
36,37,1,3,male,28.0,0,0,7.2292,missing,C,Mr
37,38,0,3,male,21.0,0,0,8.05,missing,S,Mr
38,39,0,3,female,18.0,2,0,18.0,missing,S,Miss
39,40,1,3,female,14.0,1,0,11.2417,missing,C,Miss
40,41,0,3,female,40.0,1,0,9.475,missing,S,Mrs
41,42,0,2,female,27.0,1,0,21.0,missing,S,Mrs
42,43,0,3,male,28.0,0,0,7.8958,missing,C,Mr
43,44,1,2,female,3.0,1,2,41.5792,missing,C,Miss
44,45,1,3,female,19.0,0,0,7.8792,missing,Q,Miss
45,46,0,3,male,28.0,0,0,8.05,missing,S,Mr
46,47,0,3,male,28.0,1,0,15.5,missing,Q,Mr
47,48,1,3,female,28.0,0,0,7.75,missing,Q,Miss
48,49,0,3,male,28.0,2,0,21.6792,missing,C,Mr
49,50,0,3,female,18.0,1,0,17.8,missing,S,Mrs
50,51,0,3,male,7.0,4,1,39.6875,missing,S,Master
51,52,0,3,male,21.0,0,0,7.8,missing,S,Mr
52,53,1,1,female,49.0,1,0,76.7292,D33,C,Mrs
53,54,1,2,female,29.0,1,0,26.0,missing,S,Mrs
54,55,0,1,male,65.0,0,1,61.9792,B30,C,Mr
55,56,1,1,male,28.0,0,0,35.5,C52,S,Mr
56,57,1,2,female,21.0,0,0,10.5,missing,S,Miss
57,58,0,3,male,28.5,0,0,7.2292,missing,C,Mr
58,59,1,2,female,5.0,1,2,27.75,missing,S,Miss
59,60,0,3,male,11.0,5,2,46.9,missing,S,Master
60,61,0,3,male,22.0,0,0,7.2292,missing,C,Mr
61,62,1,1,female,38.0,0,0,80.0,B28,missing,Miss
62,63,0,1,male,45.0,1,0,83.475,C83,S,Mr
63,64,0,3,male,4.0,3,2,27.9,missing,S,Master
64,65,0,1,male,28.0,0,0,27.7208,missing,C,Mr
65,66,1,3,male,28.0,1,1,15.2458,missing,C,Master
66,67,1,2,female,29.0,0,0,10.5,F33,S,Mrs
67,68,0,3,male,19.0,0,0,8.1583,missing,S,Mr
68,69,1,3,female,17.0,4,2,7.925,missing,S,Miss
69,70,0,3,male,26.0,2,0,8.6625,missing,S,Mr
70,71,0,2,male,32.0,0,0,10.5,missing,S,Mr
71,72,0,3,female,16.0,5,2,46.9,missing,S,Miss
72,73,0,2,male,21.0,0,0,73.5,missing,S,Mr
73,74,0,3,male,26.0,1,0,14.4542,missing,C,Mr
74,75,1,3,male,32.0,0,0,56.4958,missing,S,Mr
75,76,0,3,male,25.0,0,0,7.65,F G73,S,Mr
76,77,0,3,male,28.0,0,0,7.8958,missing,S,Mr
77,78,0,3,male,28.0,0,0,8.05,missing,S,Mr
78,79,1,2,male,0.83,0,2,29.0,missing,S,Master
79,80,1,3,female,30.0,0,0,12.475,missing,S,Miss
80,81,0,3,male,22.0,0,0,9.0,missing,S,Mr
81,82,1,3,male,29.0,0,0,9.5,missing,S,Mr
82,83,1,3,female,28.0,0,0,7.7875,missing,Q,Miss
83,84,0,1,male,28.0,0,0,47.1,missing,S,Mr
84,85,1,2,female,17.0,0,0,10.5,missing,S,Miss
85,86,1,3,female,33.0,3,0,15.85,missing,S,Mrs
86,87,0,3,male,16.0,1,3,34.375,missing,S,Mr
87,88,0,3,male,28.0,0,0,8.05,missing,S,Mr
88,89,1,1,female,23.0,3,2,263.0,C23 C25 C27,S,Miss
89,90,0,3,male,24.0,0,0,8.05,missing,S,Mr
90,91,0,3,male,29.0,0,0,8.05,missing,S,Mr
91,92,0,3,male,20.0,0,0,7.8542,missing,S,Mr
92,93,0,1,male,46.0,1,0,61.175,E31,S,Mr
93,94,0,3,male,26.0,1,2,20.575,missing,S,Mr
94,95,0,3,male,59.0,0,0,7.25,missing,S,Mr
95,96,0,3,male,28.0,0,0,8.05,missing,S,Mr
96,97,0,1,male,71.0,0,0,34.6542,A5,C,Mr
97,98,1,1,male,23.0,0,1,63.3583,D10 D12,C,Mr
98,99,1,2,female,34.0,0,1,23.0,missing,S,Mrs
99,100,0,2,male,34.0,1,0,26.0,missing,S,Mr
100,101,0,3,female,28.0,0,0,7.8958,missing,S,Miss
101,102,0,3,male,28.0,0,0,7.8958,missing,S,Mr
102,103,0,1,male,21.0,0,1,77.2875,D26,S,Mr
103,104,0,3,male,33.0,0,0,8.6542,missing,S,Mr
104,105,0,3,male,37.0,2,0,7.925,missing,S,Mr
105,106,0,3,male,28.0,0,0,7.8958,missing,S,Mr
106,107,1,3,female,21.0,0,0,7.65,missing,S,Miss
107,108,1,3,male,28.0,0,0,7.775,missing,S,Mr
108,109,0,3,male,38.0,0,0,7.8958,missing,S,Mr
109,110,1,3,female,28.0,1,0,24.15,missing,Q,Miss
110,111,0,1,male,47.0,0,0,52.0,C110,S,Mr
111,112,0,3,female,14.5,1,0,14.4542,missing,C,Miss
112,113,0,3,male,22.0,0,0,8.05,missing,S,Mr
113,114,0,3,female,20.0,1,0,9.825,missing,S,Miss
114,115,0,3,female,17.0,0,0,14.4583,missing,C,Miss
115,116,0,3,male,21.0,0,0,7.925,missing,S,Mr
116,117,0,3,male,70.5,0,0,7.75,missing,Q,Mr
117,118,0,2,male,29.0,1,0,21.0,missing,S,Mr
118,119,0,1,male,24.0,0,1,247.5208,B58 B60,C,Mr
119,120,0,3,female,2.0,4,2,31.275,missing,S,Miss
120,121,0,2,male,21.0,2,0,73.5,missing,S,Mr
121,122,0,3,male,28.0,0,0,8.05,missing,S,Mr
122,123,0,2,male,32.5,1,0,30.0708,missing,C,Mr
123,124,1,2,female,32.5,0,0,13.0,E101,S,Miss
124,125,0,1,male,54.0,0,1,77.2875,D26,S,Mr
125,126,1,3,male,12.0,1,0,11.2417,missing,C,Master
126,127,0,3,male,28.0,0,0,7.75,missing,Q,Mr
127,128,1,3,male,24.0,0,0,7.1417,missing,S,Mr
128,129,1,3,female,28.0,1,1,22.3583,F E69,C,Miss
129,130,0,3,male,45.0,0,0,6.975,missing,S,Mr
130,131,0,3,male,33.0,0,0,7.8958,missing,C,Mr
131,132,0,3,male,20.0,0,0,7.05,missing,S,Mr
132,133,0,3,female,47.0,1,0,14.5,missing,S,Mrs
133,134,1,2,female,29.0,1,0,26.0,missing,S,Mrs
134,135,0,2,male,25.0,0,0,13.0,missing,S,Mr
135,136,0,2,male,23.0,0,0,15.0458,missing,C,Mr
136,137,1,1,female,19.0,0,2,26.2833,D47,S,Miss
137,138,0,1,male,37.0,1,0,53.1,C123,S,Mr
138,139,0,3,male,16.0,0,0,9.2167,missing,S,Mr
139,140,0,1,male,24.0,0,0,79.2,B86,C,Mr
140,141,0,3,female,28.0,0,2,15.2458,missing,C,Mrs
141,142,1,3,female,22.0,0,0,7.75,missing,S,Miss
142,143,1,3,female,24.0,1,0,15.85,missing,S,Mrs
143,144,0,3,male,19.0,0,0,6.75,missing,Q,Mr
144,145,0,2,male,18.0,0,0,11.5,missing,S,Mr
145,146,0,2,male,19.0,1,1,36.75,missing,S,Mr
146,147,1,3,male,27.0,0,0,7.7958,missing,S,Mr
147,148,0,3,female,9.0,2,2,34.375,missing,S,Miss
148,149,0,2,male,36.5,0,2,26.0,F2,S,Mr
149,150,0,2,male,42.0,0,0,13.0,missing,S,Other
150,151,0,2,male,51.0,0,0,12.525,missing,S,Other
151,152,1,1,female,22.0,1,0,66.6,C2,S,Mrs
152,153,0,3,male,55.5,0,0,8.05,missing,S,Mr
153,154,0,3,male,40.5,0,2,14.5,missing,S,Mr
154,155,0,3,male,28.0,0,0,7.3125,missing,S,Mr
155,156,0,1,male,51.0,0,1,61.3792,missing,C,Mr
156,157,1,3,female,16.0,0,0,7.7333,missing,Q,Miss
157,158,0,3,male,30.0,0,0,8.05,missing,S,Mr
158,159,0,3,male,28.0,0,0,8.6625,missing,S,Mr
159,160,0,3,male,28.0,8,2,69.55,missing,S,Master
160,161,0,3,male,44.0,0,1,16.1,missing,S,Mr
161,162,1,2,female,40.0,0,0,15.75,missing,S,Mrs
162,163,0,3,male,26.0,0,0,7.775,missing,S,Mr
163,164,0,3,male,17.0,0,0,8.6625,missing,S,Mr
164,165,0,3,male,1.0,4,1,39.6875,missing,S,Master
165,166,1,3,male,9.0,0,2,20.525,missing,S,Master
166,167,1,1,female,28.0,0,1,55.0,E33,S,Mrs
167,168,0,3,female,45.0,1,4,27.9,missing,S,Mrs
168,169,0,1,male,28.0,0,0,25.925,missing,S,Mr
169,170,0,3,male,28.0,0,0,56.4958,missing,S,Mr
170,171,0,1,male,61.0,0,0,33.5,B19,S,Mr
171,172,0,3,male,4.0,4,1,29.125,missing,Q,Master
172,173,1,3,female,1.0,1,1,11.1333,missing,S,Miss
173,174,0,3,male,21.0,0,0,7.925,missing,S,Mr
174,175,0,1,male,56.0,0,0,30.6958,A7,C,Mr
175,176,0,3,male,18.0,1,1,7.8542,missing,S,Mr
176,177,0,3,male,28.0,3,1,25.4667,missing,S,Master
177,178,0,1,female,50.0,0,0,28.7125,C49,C,Miss
178,179,0,2,male,30.0,0,0,13.0,missing,S,Mr
179,180,0,3,male,36.0,0,0,0.0,missing,S,Mr
180,181,0,3,female,28.0,8,2,69.55,missing,S,Miss
181,182,0,2,male,28.0,0,0,15.05,missing,C,Mr
182,183,0,3,male,9.0,4,2,31.3875,missing,S,Master
183,184,1,2,male,1.0,2,1,39.0,F4,S,Master
184,185,1,3,female,4.0,0,2,22.025,missing,S,Miss
185,186,0,1,male,28.0,0,0,50.0,A32,S,Mr
186,187,1,3,female,28.0,1,0,15.5,missing,Q,Mrs
187,188,1,1,male,45.0,0,0,26.55,missing,S,Mr
188,189,0,3,male,40.0,1,1,15.5,missing,Q,Mr
189,190,0,3,male,36.0,0,0,7.8958,missing,S,Mr
190,191,1,2,female,32.0,0,0,13.0,missing,S,Mrs
191,192,0,2,male,19.0,0,0,13.0,missing,S,Mr
192,193,1,3,female,19.0,1,0,7.8542,missing,S,Miss
193,194,1,2,male,3.0,1,1,26.0,F2,S,Master
194,195,1,1,female,44.0,0,0,27.7208,B4,C,Mrs
195,196,1,1,female,58.0,0,0,146.5208,B80,C,Miss
196,197,0,3,male,28.0,0,0,7.75,missing,Q,Mr
197,198,0,3,male,42.0,0,1,8.4042,missing,S,Mr
198,199,1,3,female,28.0,0,0,7.75,missing,Q,Miss
199,200,0,2,female,24.0,0,0,13.0,missing,S,Mrs
200,201,0,3,male,28.0,0,0,9.5,missing,S,Mr
201,202,0,3,male,28.0,8,2,69.55,missing,S,Mr
202,203,0,3,male,34.0,0,0,6.4958,missing,S,Mr
203,204,0,3,male,45.5,0,0,7.225,missing,C,Mr
204,205,1,3,male,18.0,0,0,8.05,missing,S,Mr
205,206,0,3,female,2.0,0,1,10.4625,G6,S,Miss
206,207,0,3,male,32.0,1,0,15.85,missing,S,Mr
207,208,1,3,male,26.0,0,0,18.7875,missing,C,Mr
208,209,1,3,female,16.0,0,0,7.75,missing,Q,Miss
209,210,1,1,male,40.0,0,0,31.0,A31,C,Mr
210,211,0,3,male,24.0,0,0,7.05,missing,S,Mr
211,212,1,2,female,35.0,0,0,21.0,missing,S,Miss
212,213,0,3,male,22.0,0,0,7.25,missing,S,Mr
213,214,0,2,male,30.0,0,0,13.0,missing,S,Mr
214,215,0,3,male,28.0,1,0,7.75,missing,Q,Mr
215,216,1,1,female,31.0,1,0,113.275,D36,C,Miss
216,217,1,3,female,27.0,0,0,7.925,missing,S,Miss
217,218,0,2,male,42.0,1,0,27.0,missing,S,Mr
218,219,1,1,female,32.0,0,0,76.2917,D15,C,Miss
219,220,0,2,male,30.0,0,0,10.5,missing,S,Mr
220,221,1,3,male,16.0,0,0,8.05,missing,S,Mr
221,222,0,2,male,27.0,0,0,13.0,missing,S,Mr
222,223,0,3,male,51.0,0,0,8.05,missing,S,Mr
223,224,0,3,male,28.0,0,0,7.8958,missing,S,Mr
224,225,1,1,male,38.0,1,0,90.0,C93,S,Mr
225,226,0,3,male,22.0,0,0,9.35,missing,S,Mr
226,227,1,2,male,19.0,0,0,10.5,missing,S,Mr
227,228,0,3,male,20.5,0,0,7.25,missing,S,Mr
228,229,0,2,male,18.0,0,0,13.0,missing,S,Mr
229,230,0,3,female,28.0,3,1,25.4667,missing,S,Miss
230,231,1,1,female,35.0,1,0,83.475,C83,S,Mrs
231,232,0,3,male,29.0,0,0,7.775,missing,S,Mr
232,233,0,2,male,59.0,0,0,13.5,missing,S,Mr
233,234,1,3,female,5.0,4,2,31.3875,missing,S,Miss
234,235,0,2,male,24.0,0,0,10.5,missing,S,Mr
235,236,0,3,female,28.0,0,0,7.55,missing,S,Miss
236,237,0,2,male,44.0,1,0,26.0,missing,S,Mr
237,238,1,2,female,8.0,0,2,26.25,missing,S,Miss
238,239,0,2,male,19.0,0,0,10.5,missing,S,Mr
239,240,0,2,male,33.0,0,0,12.275,missing,S,Mr
240,241,0,3,female,28.0,1,0,14.4542,missing,C,Miss
241,242,1,3,female,28.0,1,0,15.5,missing,Q,Miss
242,243,0,2,male,29.0,0,0,10.5,missing,S,Mr
243,244,0,3,male,22.0,0,0,7.125,missing,S,Mr
244,245,0,3,male,30.0,0,0,7.225,missing,C,Mr
245,246,0,1,male,44.0,2,0,90.0,C78,Q,Other
246,247,0,3,female,25.0,0,0,7.775,missing,S,Miss
247,248,1,2,female,24.0,0,2,14.5,missing,S,Mrs
248,249,1,1,male,37.0,1,1,52.5542,D35,S,Mr
249,250,0,2,male,54.0,1,0,26.0,missing,S,Other
250,251,0,3,male,28.0,0,0,7.25,missing,S,Mr
251,252,0,3,female,29.0,1,1,10.4625,G6,S,Mrs
252,253,0,1,male,62.0,0,0,26.55,C87,S,Mr
253,254,0,3,male,30.0,1,0,16.1,missing,S,Mr
254,255,0,3,female,41.0,0,2,20.2125,missing,S,Mrs
255,256,1,3,female,29.0,0,2,15.2458,missing,C,Mrs
256,257,1,1,female,28.0,0,0,79.2,missing,C,Mrs
257,258,1,1,female,30.0,0,0,86.5,B77,S,Miss
258,259,1,1,female,35.0,0,0,512.3292,missing,C,Miss
259,260,1,2,female,50.0,0,1,26.0,missing,S,Mrs
260,261,0,3,male,28.0,0,0,7.75,missing,Q,Mr
261,262,1,3,male,3.0,4,2,31.3875,missing,S,Master
262,263,0,1,male,52.0,1,1,79.65,E67,S,Mr
263,264,0,1,male,40.0,0,0,0.0,B94,S,Mr
264,265,0,3,female,28.0,0,0,7.75,missing,Q,Miss
265,266,0,2,male,36.0,0,0,10.5,missing,S,Mr
266,267,0,3,male,16.0,4,1,39.6875,missing,S,Mr
267,268,1,3,male,25.0,1,0,7.775,missing,S,Mr
268,269,1,1,female,58.0,0,1,153.4625,C125,S,Mrs
269,270,1,1,female,35.0,0,0,135.6333,C99,S,Miss
270,271,0,1,male,28.0,0,0,31.0,missing,S,Mr
271,272,1,3,male,25.0,0,0,0.0,missing,S,Mr
272,273,1,2,female,41.0,0,1,19.5,missing,S,Mrs
273,274,0,1,male,37.0,0,1,29.7,C118,C,Mr
274,275,1,3,female,28.0,0,0,7.75,missing,Q,Miss
275,276,1,1,female,63.0,1,0,77.9583,D7,S,Miss
276,277,0,3,female,45.0,0,0,7.75,missing,S,Miss
277,278,0,2,male,28.0,0,0,0.0,missing,S,Mr
278,279,0,3,male,7.0,4,1,29.125,missing,Q,Master
279,280,1,3,female,35.0,1,1,20.25,missing,S,Mrs
280,281,0,3,male,65.0,0,0,7.75,missing,Q,Mr
281,282,0,3,male,28.0,0,0,7.8542,missing,S,Mr
282,283,0,3,male,16.0,0,0,9.5,missing,S,Mr
283,284,1,3,male,19.0,0,0,8.05,missing,S,Mr
284,285,0,1,male,28.0,0,0,26.0,A19,S,Mr
285,286,0,3,male,33.0,0,0,8.6625,missing,C,Mr
286,287,1,3,male,30.0,0,0,9.5,missing,S,Mr
287,288,0,3,male,22.0,0,0,7.8958,missing,S,Mr
288,289,1,2,male,42.0,0,0,13.0,missing,S,Mr
289,290,1,3,female,22.0,0,0,7.75,missing,Q,Miss
290,291,1,1,female,26.0,0,0,78.85,missing,S,Miss
291,292,1,1,female,19.0,1,0,91.0792,B49,C,Mrs
292,293,0,2,male,36.0,0,0,12.875,D,C,Mr
293,294,0,3,female,24.0,0,0,8.85,missing,S,Miss
294,295,0,3,male,24.0,0,0,7.8958,missing,S,Mr
295,296,0,1,male,28.0,0,0,27.7208,missing,C,Mr
296,297,0,3,male,23.5,0,0,7.2292,missing,C,Mr
297,298,0,1,female,2.0,1,2,151.55,C22 C26,S,Miss
